file,generated_caption,go_id,go_name,go_definition,similarity_score
protein_001_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters a protein similarity matrix is a graph of structural similar",GO:0042803,protein homodimerization activity,Binding to an identical protein to form a homodimer.,0.5004042983055115
protein_001_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters a protein similarity matrix is a graph of structural similar",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.4943496882915497
protein_001_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters a protein similarity matrix is a graph of structural similar",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.49212998151779175
protein_001_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters a protein similarity matrix is a graph of structural similar",GO:0098637,protein complex involved in cell-matrix adhesion,Any protein complex that is capable of carrying out some part of the process of cell-matrix adhesion.,0.4911348223686218
protein_001_description.txt,"a protein similarity matrix is a graph of structural similarity between two proteins that are structurally similar to each other, but differ in their domain blocks and interaction clusters a protein similarity matrix is a graph of structural similar",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.4876856803894043
protein_002_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in terms of their structural similarity to each other, as well as their structural similarity to each other's domain blocks and interaction clusters.",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5498629808425903
protein_002_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in terms of their structural similarity to each other, as well as their structural similarity to each other's domain blocks and interaction clusters.",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.5322521328926086
protein_002_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in terms of their structural similarity to each other, as well as their structural similarity to each other's domain blocks and interaction clusters.",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.5271379947662354
protein_002_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in terms of their structural similarity to each other, as well as their structural similarity to each other's domain blocks and interaction clusters.",GO:0140517,protein-RNA adaptor activity,"The binding activity of a protein that brings together another protein and an RNA, permitting those molecules to function in a coordinated way.",0.5242444276809692
protein_002_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins in terms of their structural similarity to each other, as well as their structural similarity to each other's domain blocks and interaction clusters.",GO:0098637,protein complex involved in cell-matrix adhesion,Any protein complex that is capable of carrying out some part of the process of cell-matrix adhesion.,0.5238069891929626
protein_003_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins with different domain blocks and interaction clusters in the same region of the protein, as well as the structural similarity of two proteins with different domain blocks",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5544135570526123
protein_003_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins with different domain blocks and interaction clusters in the same region of the protein, as well as the structural similarity of two proteins with different domain blocks",GO:0042802,identical protein binding,Binding to an identical protein or proteins.,0.5420896410942078
protein_003_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins with different domain blocks and interaction clusters in the same region of the protein, as well as the structural similarity of two proteins with different domain blocks",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.5390489101409912
protein_003_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins with different domain blocks and interaction clusters in the same region of the protein, as well as the structural similarity of two proteins with different domain blocks",GO:0042803,protein homodimerization activity,Binding to an identical protein to form a homodimer.,0.5259996652603149
protein_003_description.txt,"a protein similarity matrix is a graph that shows the structural similarity of two proteins with different domain blocks and interaction clusters in the same region of the protein, as well as the structural similarity of two proteins with different domain blocks",GO:0140517,protein-RNA adaptor activity,"The binding activity of a protein that brings together another protein and an RNA, permitting those molecules to function in a coordinated way.",0.5254158973693848
protein_004_description.txt,"a protein structural similarity matrix is a graph that shows the structural similarity between two proteins in a given domain or interaction network, as well as the number of interactions between two proteins in a given domain or interaction network and the number of interactions between two proteins",GO:0046983,protein dimerization activity,"The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.",0.5484511852264404
protein_004_description.txt,"a protein structural similarity matrix is a graph that shows the structural similarity between two proteins in a given domain or interaction network, as well as the number of interactions between two proteins in a given domain or interaction network and the number of interactions between two proteins",GO:0180014,protein-tRNA adaptor activity,"The binding activity of a protein that brings together another protein and a tRNA, permitting those molecules to function in a coordinated way.",0.5232492089271545
protein_004_description.txt,"a protein structural similarity matrix is a graph that shows the structural similarity between two proteins in a given domain or interaction network, as well as the number of interactions between two proteins in a given domain or interaction network and the number of interactions between two proteins",GO:0071536,obsolete RING-like zinc finger domain-mediated complex assembly,OBSOLETE. A process of protein complex assembly in which the arrangement and bonding together of the set of components that form the protein complex is mediated by a RING-like zinc finger domain interaction.,0.504951536655426
protein_004_description.txt,"a protein structural similarity matrix is a graph that shows the structural similarity between two proteins in a given domain or interaction network, as well as the number of interactions between two proteins in a given domain or interaction network and the number of interactions between two proteins",GO:0097161,DH domain binding,"Binding to a DH (Dbl homology) domain of a protein. The DH domain contains three structurally conserved regions separated by more variable regions. It is composed of 11 alpha helices that are folded into a flattened, elongated alpha-helix bundle in which two of the three conserved regions, conserved region 1 (CR1) and conserved region 3 (CR3), are exposed near the centre of one surface. CR1 and CR3, together with a part of alpha-6 and the DH/PH (pleckstrin homology) junction site, constitute the Rho GTPase interacting pocket.",0.5048971772193909
protein_004_description.txt,"a protein structural similarity matrix is a graph that shows the structural similarity between two proteins in a given domain or interaction network, as well as the number of interactions between two proteins in a given domain or interaction network and the number of interactions between two proteins",GO:0018419,protein catenane formation,"The aggregation, arrangement and bonding together of a protein structure comprising two or more rings that are interlocked but not covalently joined; resembling the links of a chain.",0.5011806488037109
